timestamp,gaze_x,gaze_y,left_pupil_x,left_pupil_y,right_pupil_x,right_pupil_y
1725281212.804733,953,383,1086,376,1178,378
1725281212.919311,954,377,1086,377,1178,377
1725281212.952527,965,373,1088,376,1179,377
1725281212.9861062,946,386,1086,377,1178,377
1725281213.0370991,963,385,1087,377,1179,376
1725281213.084883,965,380,1087,376,1179,377
1725281213.1195579,966,381,1087,376,1179,377
1725281213.151447,957,383,1086,376,1179,377
1725281213.184874,971,382,1087,376,1179,376
1725281213.2192278,963,381,1087,376,1179,377
1725281213.2532191,968,389,1090,378,1181,377
1725281213.285033,974,378,1090,378,1181,378
1725281213.3182862,985,380,1089,378,1182,378
1725281213.352561,968,380,1089,378,1181,377
1725281213.385368,963,383,1089,378,1182,378
1725281213.418557,969,388,1089,378,1181,378
1725281213.452273,965,387,1089,378,1182,378
1725281213.492796,969,381,1090,378,1182,377
1725281213.525404,968,380,1089,378,1182,378
1725281213.5539389,968,388,1089,378,1181,378
1725281213.592155,976,379,1090,378,1181,378
1725281213.620019,962,385,1089,378,1181,377
1725281213.652093,969,385,1089,378,1181,377
