timestamp,left_pupil_x,left_pupil_y,right_pupil_x,right_pupil_y,nose_tip_x,nose_tip_y,chin_x,chin_y,direction
1725780423.056706,889,568,988,557,943,586,961,739,0
1725780423.203243,891,567,988,557,944,589,964,733,0
1725780423.2459872,891,567,989,557,946,590,965,733,0
1725780423.284735,890,566,990,557,946,590,965,734,0
1725780423.3247309,890,567,990,557,946,591,965,733,0
1725780423.3672462,890,568,990,557,945,592,965,734,0
1725780423.4471838,890,567,989,557,945,592,964,734,0
1725780423.4904609,890,567,989,557,945,592,965,733,0
1725780423.572132,888,568,988,557,944,593,965,733,0
1725780423.616979,888,568,988,558,944,592,964,734,0
1725780423.6544251,889,568,989,558,944,592,963,734,0
1725780423.698146,888,568,988,558,945,592,964,734,0
1725780423.7433531,889,568,989,557,945,591,965,733,0
1725780423.776696,889,568,990,557,945,593,964,734,0
1725780423.817754,890,568,990,558,945,593,964,734,0
1725780423.863986,890,568,991,558,946,593,965,735,0
1725780423.910284,891,567,991,558,947,592,965,734,0
1725780423.939502,891,567,991,558,947,592,966,734,0
1725780423.980204,891,567,991,558,947,592,965,735,0
1725780424.022511,891,567,990,558,947,593,965,734,0
1725780424.063436,890,568,990,558,947,593,966,735,0
1725780424.103235,890,568,990,558,946,593,964,735,0
1725780424.1450722,891,567,990,558,946,592,965,735,0
1725780424.185791,895,566,994,556,946,593,965,734,0
1725780424,896,566,995,556,945,591,964,735,0
1725780424.2680519,896,566,995,556,945,592,964,735,0
1725780424.3083038,896,566,995,556,945,593,964,734,0
1725780424.3500412,891,566,991,557,945,593,964,736,0
1725780424.390882,887,568,988,559,946,592,964,735,0
1725780424.433666,885,569,986,559,945,592,965,734,0
1725780424,885,570,986,559,945,592,965,735,0
1725780424.514125,885,569,986,559,946,592,965,734,0
1725780425,885,570,987,559,945,592,965,734,0
1725780424.596906,885,569,987,559,945,591,964,734,0
1725780424.637682,884,570,986,559,946,592,965,734,0
1725780424.680019,884,569,986,559,945,591,965,734,0
1725780424.719384,884,569,987,559,945,592,965,734,0
1725780424.760374,889,567,990,558,946,592,965,734,0
1725780425,891,566,991,557,946,592,965,734,0
1725780424.8441322,892,566,991,557,947,591,965,733,0
1725780424.8851242,892,566,992,557,946,592,965,733,0
1725780424.924546,892,566,992,557,946,592,965,734,0
1725780424.966177,893,566,992,557,947,592,966,734,0
1725780425.007531,893,566,993,557,948,591,966,733,0
1725780425.049414,893,566,993,557,948,591,967,734,0
1725780425.0892968,893,566,993,557,948,591,966,733,0
1725780425.129579,892,566,992,557,948,591,967,734,0
1725780425.169853,893,566,993,558,949,591,967,734,0
1725780425.211471,894,566,994,558,950,591,968,733,0
1725780425.253372,895,566,994,557,951,591,968,735,0
1725780425.2945678,896,566,996,558,954,591,971,734,0
1725780425.333889,898,566,997,558,955,591,970,734,0
1725780425.376369,899,565,998,559,957,591,972,735,0
1725780425.4179142,900,565,999,558,956,591,971,735,0
1725780425.459297,901,565,1000,558,958,591,973,734,0
1725780425.501175,900,565,1000,558,958,590,972,734,0
1725780425.539938,901,565,1000,558,959,590,973,733,0
1725780425.5802612,901,564,1000,558,958,590,972,734,0
1725780425.662205,901,564,1001,557,958,589,973,732,0
1725780425.703638,901,563,1000,556,958,587,972,730,0
1725780425.744226,901,562,1001,555,958,586,973,729,0
1725780425.7841809,901,560,1001,554,957,583,971,727,0
1725780425.825284,901,559,1001,553,956,581,969,725,0
1725780425.866652,901,558,1002,553,955,579,969,724,0
1725780425.9085069,902,557,1001,551,957,576,970,722,0
